accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF001NAY	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	55.85	32.18	11.97	44.15	55.85	32.18	11.97	44.15									1.56411400367365	0.17061965683141803	1.15012520146785	0.317123461107159	1.3462674689207	11.112685340375199	24.341335777073102	1.2061945586598	58.7915345318912	1.3639	1.4468	1.5294	1.5944	1.8866	3.3751	1.7901	1.5998	1.4681	1.3206	1
ENCFF001NAI	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	2.0	1.0	67.13	20.68	12.2	32.87	67.13	20.68	12.2	32.87									1.24926609033669	0.146275788067135	1.03779887838358	0.279088129896949	1.2048265948616201	9.84208288623894	22.848480553924603	1.1187820136456599	62.27339906464479	1.0232	1.1992	1.2626	1.4277	2.1594	6.2791	2.125	1.7499	1.4882	1.1261	1
ENCFF001NLN	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	68.09	22.75	9.15	31.91	68.09	22.75	9.15	31.91									4.15353732245889	0.5809288935571	1.2351735817290002	0.8412658169497779	1.4715840931066697	11.705503184517601	22.4875346686027	1.1231145603192498	56.4013578787589	1.0318881808444	1.13115015172901	1.23837489610217	1.4660229546034598	3.58324806984552	9.07079887343117	2.92430129389615	3.23626748810493	3.2668096329925	3.21772404299461	1
ENCFF001KKM	ChIP-seq	mouse	y2011	single-ended	2.0	0.0	0.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0	0.0	67.7	27.33	4.97	32.3	67.7	27.33	4.97	32.3									4.09167390769324	0.570375244227688	1.53814472342627	0.8631973359719128	3.0224463452487997	15.959356494572999	27.193177195035602	1.2864081327192298	45.4752206211043	1.1208	1.2136	1.3548	1.6761	3.4506	5.7969	3.1031	2.2093	1.7448	1.4401	1
ENCFF001OBA	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	0.0	57.66	30.3	12.04	42.34	57.66	30.3	12.04	42.34									2.92922311864789	0.264461244589879	1.32774656855238	0.449030006528415	1.3859784159325599	11.6990602306707	25.1129375448325	1.3025597833533502	55.529003086892395	1.213	1.3391	1.45	1.6958	2.9548	4.8402	2.0645	1.7719999999999998	1.5222	1.2921	1
ENCFF001LUC	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	74.64	20.33	5.03	25.36	74.64	20.33	5.03	25.36									9.93682879334336	1.01744508011688	0.9833120883148371	0.8889680962248309	1.26855918499679	10.739004444337	21.8944515261173	0.9430371717342579	52.3283936148147	0.9317	0.9552	1.1054	1.2591	5.6145	10.8024	2.2052	1.5847	1.271	1.0018	1
ENCFF001NIT	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	2.0	1.0	59.21	29.89	10.9	40.79	59.21	29.89	10.9	40.79									4.547835002125019	0.36568392259707105	1.32335079672969	0.492278439453176	1.3968702854369	12.6102036993395	24.9758795650063	1.30179850825936	52.98609978105289	1.1813	1.3267	1.4493	1.7437	3.9874	6.2262	2.3356	1.8342	1.5713	1.3226	1
ENCFF001OBO	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	1.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	2.0	0.0	65.15	25.02	9.84	34.85	65.15	25.02	9.84	34.85									5.52865704482546	0.32060524160935605	1.4911007178703999	0.533806220203857	1.26222615178262	13.9849593843093	25.6215933809234	1.5149125142544198	49.74213934422111	1.4402	1.5737	1.8241	2.2025	4.8655	5.2215	2.5795	2.057	1.7478	1.5859	1
ENCFF001NQF	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	1.0	67.91	23.57	8.52	32.09	67.91	23.57	8.52	32.09									4.3349082024206504	0.380075609924106	1.45668637279015	0.5756848857139379	1.5700404792680502	13.5945914187193	25.7122365707293	1.46904490808086	50.9067315523536	1.3217	1.4974	1.6427	1.9538	4.2271	6.0815	2.4886	2.0131	1.7093	1.4852	1
ENCFF001NBP	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	1.0	67.94	23.48	8.58	32.06	67.94	23.48	8.58	32.06									1.62837347569248	0.314459088159093	2.4538662689615096	0.4244041960037871	2.80169078290163	12.225614597172802	34.6567280577101	1.34185290671148	44.1530106266871	1.1753	1.2796	1.3473	1.4606	1.7821	3.5506	2.0191	2.0217	1.8428	1.6824	1
