accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status	peak_type
ENCFF001LMR	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	41.0	44.81	14.19	59.0	41.0	44.81	14.19	59.0									8.12907979993294	0.7730411438599449	1.3659737406959	0.899639180536229	2.0045860414872103	12.866918457210698	24.8058863569282	1.37320217736576	47.7816731019832	1.1483	1.2703	1.3591	1.6026	5.2793	8.138	2.1569	1.6068	1.4573	1.2958	0	narrow
ENCFF045GWQ	ChIP-seq	mouse	y2014	single-ended	2.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0	0.0	2.5	75.34	22.16	97.5	2.5	75.34	22.16	97.5									17.983535661844893	3.8348782260082697	1.03527742238937	4.24663743380647	2.05598196581102	22.2161027297515	13.495691955469301	0.812563630717217	34.319330974201996	0.7594	0.9159	1.0394	1.6865	10.954	32.7404	6.1034	2.279	1.5871	1.0528	0	narrow
ENCFF001KFD	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	15.63	69.59	14.78	84.37	15.63	69.59	14.78	84.37									25.1484151701721	5.33754193253965	1.16150132502822	7.2544294372432985	4.519807370519519	24.1664531676581	10.7834679711456	0.671821333354683	20.956562292338894	0.7515	0.7244	0.8816	1.5972	12.7949	41.7366	5.2295	1.7798	1.2806	1.0738	0	narrow
ENCFF001JXV	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	6.95	73.71	19.34	93.05	6.95	73.71	19.34	93.05									8.344229968338711	1.20714310802471	1.63243801963903	1.4777944474829	2.5042022709825	16.6951835702494	24.7411651956628	1.42199832410924	41.9758450955107	1.3072	1.4601	1.5879	2.0202	5.7999	10.6257	2.9897	2.0746	1.8061	1.571	0	narrow
ENCFF001NGR	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	5.85	70.41	23.74	94.15	5.85	70.41	23.74	94.15									3.67869650980234	0.293869006883781	1.34918078982328	0.4876011432712051	1.53717644217222	13.1563745420877	25.7831810313594	1.37595104866954	52.3379694859305	1.2261	1.3974	1.4908	1.7722	3.4734	5.8395	2.2403	1.8161	1.5797	1.395	0	narrow
ENCFF001MTO	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	63.72	26.3	9.98	36.28	63.72	26.3	9.98	36.28									1.71249021225953	0.268176550232343	1.4366744499516002	0.443677396074048	2.51943224571727	11.7851933977104	26.7013580709783	1.2836891765432	53.8493085005332	1.2045	1.3322	1.3866	1.4807	1.9695	4.0288	1.7913	1.6869	1.5207	1.371	0	narrow
ENCFF001NQA	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	8.71	64.41	26.88	91.29	8.71	64.41	26.88	91.29									2.97048353335335	0.281444979219005	1.43855252262943	0.44322043971496905	1.56759010973735	11.9448915822365	25.3144346824023	1.40853441103055	54.630847739676504	1.1953	1.3688	1.4826	1.6782	3.1189999999999998	6.2926	2.2299	1.8831	1.6038	1.3869	0	narrow
ENCFF001MSV	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	9.6	67.42	22.98	90.4	9.6	67.42	22.98	90.4									2.08792090327497	0.295008322804484	1.5756171911036203	0.516114152778613	2.56362433066602	12.535547399875698	28.667649359244297	1.38058279686341	50.3779355433889	1.2665	1.3644	1.4367	1.5098	1.9832	3.263	1.7443	1.6011	1.547	1.4495	0	narrow
ENCFF001LIV	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	69.61	25.27	5.12	30.39	69.61	25.27	5.12	30.39									12.9658169171472	1.06373472795198	2.12646545899225	1.04495998570308	2.59864520656734	15.469986014323	27.3112259906689	1.7891224966592	35.6300432019871	1.148	1.255	1.3697	1.7247	8.0929	11.0025	2.7835	2.0592	1.8309	1.5885	0	narrow
ENCFF001MNV	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	4.4	69.81	25.79	95.6	4.4	69.81	25.79	95.6									1.62470678962758	0.21779907457986605	1.36342823174063	0.38498923556441	2.05769416149867	11.3584878377944	26.645090935381305	1.25136563735098	55.0964380964622	1.1826	1.3386	1.3912	1.4609	1.8984	4.1038	1.7479	1.6336	1.4609	1.3082	0	narrow
